DATE,AMOUNT,MESSAGE,
09/30/2024,-3.00,NON-WELLS FARGO ATM TRANSACTION FEE,
09/17/2024,-10.00,MONTHLY SERVICE FEE,
09/17/2024,-3.00,NON-WELLS FARGO ATM TRANSACTION FEE,
09/03/2024,-3.00,NON-WELLS FARGO ATM TRANSACTION FEE,
08/23/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
08/15/2024,-10.00,MONTHLY SERVICE FEE,
08/12/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
07/29/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
07/29/2024,-2.50,NON-WF ATM BALANCE INQUIRY FEE 07/29 1727 E WEBER TEMPE AZ ATM ID CW20133 CARD 6283,
07/17/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
07/17/2024,-2.50,NON-WF ATM BALANCE INQUIRY FEE 07/17 1322 N MCCLI TEMPE AZ ATM ID L632915 CARD 6283,
07/05/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
06/24/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
06/17/2024,-10.00,MONTHLY SERVICE FEE,
06/17/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
06/10/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
06/04/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
05/24/2024,-35.00,OVERDRAFT FEE FOR A TRANSACTION POSTED ON 05/23 $6.49 RECURRING PAYMENT AUTHORIZED ON 05/22 GOOGLE *Hily Corp 855-836-3987,
05/21/2024,-2.50,NON-WF ATM BALANCE INQUIRY FEE 05/20 960 N SCOTTS TEMPE AZ ATM ID CW25198 CARD 6283,
05/15/2024,-10.00,MONTHLY SERVICE FEE,
05/13/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
05/06/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
04/25/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
04/25/2024,-2.50,NON-WF ATM BALANCE INQUIRY FEE 04/25 1727 E WEBER TEMPE AZ ATM ID CW20133 CARD 6283,
04/15/2024,-10.00,MONTHLY SERVICE FEE,
04/15/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
04/02/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
03/27/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
03/25/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
03/15/2024,-10.00,MONTHLY SERVICE FEE,
03/14/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
03/04/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
02/22/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
02/15/2024,-10.00,MONTHLY SERVICE FEE,
02/07/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
01/30/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
01/17/2024,-10.00,MONTHLY SERVICE FEE,
01/10/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
01/08/2024,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
12/27/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
12/19/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
12/15/2023,-10.00,MONTHLY SERVICE FEE,
12/12/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
12/07/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
12/04/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
11/15/2023,-10.00,MONTHLY SERVICE FEE,
10/17/2023,-10.00,MONTHLY SERVICE FEE,
10/13/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
10/13/2023,-2.50,NON-WF ATM BALANCE INQUIRY FEE 10/13 1322 N. MCCL TEMEPE AZ ATM ID L458576 CARD 6283,
09/18/2023,-10.00,MONTHLY SERVICE FEE,
08/15/2023,-10.00,MONTHLY SERVICE FEE,
08/09/2023,-5.63,PURCHASE AUTHORIZED ON 08/07 AZ MVD FEE 602-255-0072 NY S383219701870930 CARD 6283,
07/24/2023,-2.50,NON-WELLS FARGO ATM TRANSACTION FEE,
07/18/2023,-10.00,MONTHLY SERVICE FEE,
06/15/2023,-10.00,MONTHLY SERVICE FEE,
