DATE,AMOUNT,MESSAGE,
09/30/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 09/28 1322 N MCCLINTOCK D TEMPE AZ 384273068411131 ATM ID L632915 CARD 6283,
09/17/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 09/17 1322 N MCCLINTOCK D TEMPE AZ 384262030819926 ATM ID L632915 CARD 6283,
09/03/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 09/02 960 N SCOTTSDALE RD TEMPE AZ 584247070471882 ATM ID CW25198 CARD 6283,
08/23/2024,-153.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 08/22 1322 N MCCLINTOCK D TEMPE AZ 584236102351772 ATM ID L632915 CARD 6283,
08/12/2024,-193.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 08/09 960 N SCOTTSDALE RD TEMPE AZ 384223094133554 ATM ID CW25198 CARD 6283,
07/29/2024,-243.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 07/29 1727 E WEBER DR TEMPE AZ 464212005505778 ATM ID CW20133 CARD 6283,
07/17/2024,-243.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 07/17 1322 N MCCLINTOCK D TEMPE AZ 304200017719438 ATM ID L632915 CARD 6283,
07/05/2024,-193.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 07/04 960 N SCOTTSDALE RD TEMPE AZ 464187156155491 ATM ID CW25198 CARD 6283,
06/24/2024,-133.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/23 1727 E WEBER DR TEMPE AZ 304176023641649 ATM ID CW20133 CARD 6283,
06/17/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/15 1727 E WEBER DR TEMPE AZ 384168007959790 ATM ID CW20133 CARD 6283,
06/10/2024,-113.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/09 1727 E WEBER DR TEMPE AZ 384161855052502 ATM ID CW20133 CARD 6283,
06/04/2024,-113.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 06/03 1322 N MCCLINTOCK D TEMPE AZ 304156115372630 ATM ID L632915 CARD 6283,
05/13/2024,-183.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 05/13 1727 E WEBER DR TEMPE AZ 384134841085483 ATM ID CW20133 CARD 6283,
05/06/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 05/06 1727 E WEBER DR TEMPE AZ 304128004613499 ATM ID CW20133 CARD 6283,
04/25/2024,-223.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 04/25 1727 E WEBER DR TEMPE AZ 384117006710771 ATM ID CW20133 CARD 6283,
04/15/2024,-163.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 04/14 1727 E WEBER DR TEMPE AZ 584106075814428 ATM ID CW20133 CARD 6283,
04/02/2024,-143.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 04/02 1322 N MCCLINTOCK D TEMPE AZ 304093861924667 ATM ID L632915 CARD 6283,
03/27/2024,-173.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 03/27 1727 E WEBER DR TEMPE AZ 584088012994925 ATM ID CW20133 CARD 6283,
03/25/2024,-163.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 03/22 1727 E WEBER DR TEMPE AZ 304083111020206 ATM ID CW20133 CARD 6283,
03/14/2024,-163.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 03/14 1727 E WEBER DR TEMPE AZ 584075033612313 ATM ID CW20133 CARD 6283,
03/04/2024,-163.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 03/03 1727 E WEBER DR TEMPE AZ 584064104068300 ATM ID CW20133 CARD 6283,
02/22/2024,-153.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 02/22 1718 E CURRY RD TEMPE AZ 584054019886239 ATM ID CW05178 CARD 6283,
02/07/2024,-183.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 02/07 1322 N MCCLINTOCK D TEMPE AZ 464039002255244 ATM ID L632915 CARD 6283,
01/30/2024,-173.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 01/30 1322 N MCCLINTOCK D TEMPE AZ 464031007794284 ATM ID L632915 CARD 6283,
01/10/2024,-183.50,NON-WF ATM WITHDRAWAL AUTHORIZED ON 01/10 1322 N MCCLINTOCK D TEMPE AZ 584011005140172 ATM ID L632915 CARD 6283,
