DATE,AMOUNT,MESSAGE,
10/03/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 10/02 GOOGLE *Hily Corp 855-836-3987 CA S464276343859090 CARD 6283,
09/30/2024,-7.57,RECURRING PAYMENT AUTHORIZED ON 09/29 GOOGLE *GMRD Apps 855-836-3987 CA S384273758351168 CARD 6283,
09/26/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 09/25 GOOGLE *Hily Corp 855-836-3987 CA S384270048619239 CARD 6283,
09/26/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 09/25 GOOGLE *Hily Corp 855-836-3987 CA S584269343851009 CARD 6283,
09/24/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 09/22 GOOGLE *YouTube g.co/helppay# CA S304267069346229 CARD 6283,
09/23/2024,-7.57,RECURRING PAYMENT AUTHORIZED ON 09/22 GOOGLE *GMRD Apps 855-836-3987 CA S464266758334602 CARD 6283,
09/19/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 09/18 GOOGLE *Hily Corp 855-836-3987 CA S304262343830460 CARD 6283,
09/18/2024,-7.57,RECURRING PAYMENT AUTHORIZED ON 09/15 GOOGLE *Tango 855-836-3987 CA S384260211363908 CARD 6283,
09/13/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 09/11 GOOGLE *Hily Corp 855-836-3987 CA S464255343849268 CARD 6283,
09/05/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 09/04 GOOGLE *Hily Corp 855-836-3987 CA S584248343843495 CARD 6283,
08/29/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 08/28 GOOGLE *Hily Corp g.co/helppay# CA S464241343839151 CARD 6283,
08/26/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 08/25 GOOGLE *Hily Corp 855-836-3987 CA S464239048586406 CARD 6283,
08/26/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 08/22 GOOGLE *YouTube g.co/helppay# CA S304236069335724 CARD 6283,
08/22/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 08/21 GOOGLE *Hily Corp 855-836-3987 CA S584234343844410 CARD 6283,
08/19/2024,-7.57,RECURRING PAYMENT AUTHORIZED ON 08/16 GOOGLE *Tango 855-836-3987 CA S464230213146534 CARD 6283,
08/15/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 08/14 GOOGLE *Hily Corp 855-836-3987 CA S464227343844859 CARD 6283,
08/08/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 08/07 GOOGLE *Hily Corp g.co/helppay# CA S464220343849081 CARD 6283,
08/01/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 07/31 GOOGLE *Hily Corp 855-836-3987 CA S584213343848032 CARD 6283,
07/30/2024,-75.80,PURCHASE AUTHORIZED ON 07/29 GOOGLE *Bumble g.co/helppay# CA S464211591929104 CARD 6283,
07/26/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 07/25 GOOGLE *Hily Corp 855-836-3987 CA S384208048599552 CARD 6283,
07/25/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 07/24 GOOGLE *Hily Corp g.co/helppay# CA S304206343849562 CARD 6283,
07/24/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 07/22 GOOGLE *YouTube g.co/helppay# CA S464205069328507 CARD 6283,
07/18/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 07/17 GOOGLE *Hily Corp g.co/helppay# CA S584199343847026 CARD 6283,
07/11/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 07/10 GOOGLE *Hily Corp 855-836-3987 CA S584192343866876 CARD 6283,
07/05/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 07/03 GOOGLE *Hily Corp g.co/helppay# CA S464185343845291 CARD 6283,
07/03/2024,-21.65,RECURRING PAYMENT AUTHORIZED ON 07/01 GOOGLE *ULTIMATEGU 855-836-3987 CA S304183740023000 CARD 6283,
06/27/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 06/26 GOOGLE *Hily Corp g.co/helppay# CA S464178343843913 CARD 6283,
06/27/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 06/25 GOOGLE *Hily Corp 855-836-3987 CA S304178048589754 CARD 6283,
06/24/2024,-75.80,PURCHASE AUTHORIZED ON 06/22 GOOGLE *Bumble g.co/helppay# CA S384175185129764 CARD 6283,
06/24/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 06/22 GOOGLE *YouTube g.co/helppay# CA S384175069329192 CARD 6283,
06/20/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 06/19 GOOGLE *Hily Corp g.co/helppay# CA S384171343858296 CARD 6283,
06/13/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 06/12 GOOGLE *Hily Corp 855-836-3987 CA S304164343843662 CARD 6283,
06/12/2024,-43.31,PURCHASE AUTHORIZED ON 06/10 GOOGLE *Bumble 855-836-3987 CA S464163213840410 CARD 6283,
06/06/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 06/05 GOOGLE *Hily Corp 855-836-3987 CA S584157343862024 CARD 6283,
05/30/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 05/29 GOOGLE *Hily Corp g.co/helppay# CA S464150343865729 CARD 6283,
05/28/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 05/25 GOOGLE *Hily Corp 855-836-3987 CA S584147048595881 CARD 6283,
05/24/2024,-35.00,OVERDRAFT FEE FOR A TRANSACTION POSTED ON 05/23 $6.49 RECURRING PAYMENT AUTHORIZED ON 05/22 GOOGLE *Hily Corp 855-836-3987,
05/24/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 05/22 GOOGLE *YouTube g.co/helppay# CA S384144069359562 CARD 6283,
05/23/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 05/22 GOOGLE *Hily Corp 855-836-3987 CA S464143343843154 CARD 6283,
05/16/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 05/15 GOOGLE *Hily Corp 855-836-3987 CA S464136343850652 CARD 6283,
05/09/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 05/08 GOOGLE *Hily Corp 855-836-3987 CA S304129343846326 CARD 6283,
05/02/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 05/01 GOOGLE *Hily Corp 855-836-3987 CA S584122343859294 CARD 6283,
04/29/2024,-32.48,RECURRING PAYMENT AUTHORIZED ON 04/25 GOOGLE *Hily Corp 855-836-3987 CA S464117048642683 CARD 6283,
04/25/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 04/24 GOOGLE *Hily Corp g.co/helppay# CA S304115343862765 CARD 6283,
04/24/2024,-15.15,RECURRING PAYMENT AUTHORIZED ON 04/23 GOOGLE *YouTube g.co/helppay# CA S304115069340163 CARD 6283,
04/18/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 04/17 GOOGLE *Hily Corp g.co/helppay# CA S384108343851541 CARD 6283,
04/11/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 04/10 GOOGLE *Hily Corp 855-836-3987 CA S584101343841178 CARD 6283,
04/04/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 04/03 GOOGLE *Hily Corp 855-836-3987 CA S584094343845751 CARD 6283,
03/28/2024,-6.49,RECURRING PAYMENT AUTHORIZED ON 03/27 GOOGLE *Hily Corp 855-836-3987 CA S384087343843056 CARD 6283,
03/26/2024,-32.48,PURCHASE AUTHORIZED ON 03/25 GOOGLE *Hily Corp 855-836-3987 CA S384086048583910 CARD 6283,
07/05/2023,-21.61,RECURRING PAYMENT AUTHORIZED ON 07/01 GOOGLE *ULTIMATEGU 855-836-3987 CA S463182740000183 CARD 6283,
06/12/2023,-43.23,RECURRING PAYMENT AUTHORIZED ON 06/10 GOOGLE *Glority Gl g.co/helppay# CA S383161696714552 CARD 6283,
