DATE,AMOUNT,MESSAGE,
09/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 09/10 MMBILL.COM 877-338-7068 CA S584254266102608 CARD 6283,
08/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 08/10 MMBILL.COM 877-338-7068 CA S464223266097544 CARD 6283,
07/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 07/10 MMBILL.COM 877-338-7068 CA S464192265919786 CARD 6283,
06/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 06/10 MMBILL.COM 877-338-7068 CA S304162266379379 CARD 6283,
05/13/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 05/10 MMBILL.COM 877-338-7068 CA S384131265900464 CARD 6283,
04/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 04/10 MMBILL.COM 877-338-7068 CA S584101266310816 CARD 6283,
03/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 03/09 MMBILL.COM 877-338-7068 CA S304070266304079 CARD 6283,
02/12/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 02/09 MMBILL.COM 877-338-7068 CA S384041266204510 CARD 6283,
01/11/2024,-19.95,RECURRING PAYMENT AUTHORIZED ON 01/09 MMBILL.COM 877-338-7068 CA S384010265823564 CARD 6283,
12/11/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 12/09 MMBILL.COM 877-338-7068 CA S303344265932111 CARD 6283,
11/13/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 11/09 MMBILL.COM 877-338-7068 CA S583314266073275 CARD 6283,
10/12/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 10/10 MMBILL.COM 877-338-7068 CA S303283266033562 CARD 6283,
09/12/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 09/10 MMBILL.COM 877-338-7068 CA S583253266266546 CARD 6283,
08/14/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 08/10 MMBILL.COM 877-338-7068 CA S583222266240468 CARD 6283,
07/12/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 07/10 MMBILL.COM 877-338-7068 CA S583191266110735 CARD 6283,
06/12/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 06/10 MMBILL.COM 877-338-7068 CA S463161265875342 CARD 6283,
05/12/2023,-19.95,RECURRING PAYMENT AUTHORIZED ON 05/10 MMBILL.COM 877-338-7068 CA S303130266166926 CARD 6283,
