DATE,AMOUNT,MESSAGE,
10/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 10/01 Patreon* Membershi Internet CA S384275626387810 CARD 6283,
10/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 10/01 Patreon* Membershi Internet CA S384275537176320 CARD 6283,
09/03/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 09/01 Patreon* Membershi Internet CA S384245642235262 CARD 6283,
09/03/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 09/01 Patreon* Membershi Internet CA S384245524304087 CARD 6283,
08/26/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 08/23 Patreon* Membershi Internet CA S384237036628917 CARD 6283,
08/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 08/01 Patreon* Membershi Internet CA S384214579205754 CARD 6283,
08/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 08/01 Patreon* Membershi Internet CA S384214441411380 CARD 6283,
07/24/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 07/23 Patreon* Membershi Internet CA S384206029316713 CARD 6283,
07/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 07/01 Patreon* Membershi Internet CA S384183604077954 CARD 6283,
07/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 07/01 Patreon* Membershi Internet CA S384183442735960 CARD 6283,
06/24/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 06/23 Patreon* Membershi Internet CA S384176025674568 CARD 6283,
06/03/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 06/01 Patreon* Membershi Internet CA S384153582916364 CARD 6283,
06/03/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 06/01 Patreon* Membershi Internet CA S384153488316008 CARD 6283,
05/24/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 05/23 Patreon* Membershi Internet CA S384145022420983 CARD 6283,
05/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 05/01 Patreon* Membershi Internet CA S584122589890021 CARD 6283,
05/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 05/01 Patreon* Membershi Internet CA S584122482386354 CARD 6283,
04/24/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 04/23 Patreon* Membershi Internet CA S384115026952725 CARD 6283,
04/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 04/01 Patreon* Membershi Internet CA S384092594429937 CARD 6283,
04/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 04/01 Patreon* Membershi Internet CA S384092487925828 CARD 6283,
03/25/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 03/23 Patreon* Membershi Internet CA S384084025644906 CARD 6283,
03/04/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 03/01 Patreon* Membershi Internet CA S384061633207467 CARD 6283,
03/04/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 03/01 Patreon* Membershi Internet CA S384061528449125 CARD 6283,
02/26/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 02/23 Patreon* Membershi Internet CA S384055021339443 CARD 6283,
02/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 02/01 Patreon* Membershi Internet CA S384032620264890 CARD 6283,
02/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 02/01 Patreon* Membershi 833-9728766 CA S384032518416036 CARD 6283,
01/24/2024,-5.00,RECURRING PAYMENT AUTHORIZED ON 01/23 Patreon* Membershi Internet CA S384024029388484 CARD 6283,
01/02/2024,-21.67,RECURRING PAYMENT AUTHORIZED ON 01/01 Patreon* Membershi Internet CA S384001629456814 CARD 6283,
01/02/2024,-16.25,RECURRING PAYMENT AUTHORIZED ON 01/01 Patreon* Membershi Internet CA S384001512177190 CARD 6283,
12/26/2023,-5.00,RECURRING PAYMENT AUTHORIZED ON 12/23 Patreon* Membershi Internet CA S383358059340899 CARD 6283,
12/04/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 12/01 Patreon* Membershi Internet CA S383335630049943 CARD 6283,
12/04/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 12/01 Patreon* Membershi Internet CA S383335516813242 CARD 6283,
11/02/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 11/01 Patreon* Membershi Internet CA S383305595943881 CARD 6283,
11/02/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 11/01 Patreon* Membershi Internet CA S383305469721682 CARD 6283,
10/02/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 10/01 Patreon* Membershi 833-9728766 CA S463274583092529 CARD 6283,
10/02/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 10/01 Patreon* Membershi Internet CA S583274416319014 CARD 6283,
09/05/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 09/01 Patreon* Membershi Internet CA S583244637984412 CARD 6283,
09/05/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 09/01 Patreon* Membershi Internet CA S583244403398633 CARD 6283,
08/02/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 08/01 Patreon* Membershi San Francisco CA S583213614217622 CARD 6283,
08/02/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 08/01 Patreon* Membershi San Francisco CA S583213421300310 CARD 6283,
07/24/2023,-5.42,RECURRING PAYMENT AUTHORIZED ON 07/21 Patreon* Membershi San Francisco CA S583203027472345 CARD 6283,
07/03/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 07/01 Patreon* Membershi 833-9728766 CA S583182628434555 CARD 6283,
07/03/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 07/01 CKO*Patreon 833-9728766 CA S303182403727091 CARD 6283,
06/22/2023,-5.42,RECURRING PAYMENT AUTHORIZED ON 06/21 CKO*Patreon* Membe 833-9728766 CA S463173026384602 CARD 6283,
06/02/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 06/01 CKO*Patreon* Membe 833-9728766 CA S383152615965933 CARD 6283,
06/02/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 06/01 Patreon* Membershi 833-9728766 CA S463152433109646 CARD 6283,
05/22/2023,-5.42,RECURRING PAYMENT AUTHORIZED ON 05/21 Patreon* Membershi 833-9728766 CA S583142019472694 CARD 6283,
05/02/2023,-21.67,RECURRING PAYMENT AUTHORIZED ON 05/01 CKO*Patreon* Membe 833-9728766 CA S303121641927674 CARD 6283,
05/02/2023,-16.25,RECURRING PAYMENT AUTHORIZED ON 05/01 CKO*Patreon* Membe 833-9728766 CA S583121442219671 CARD 6283,
04/24/2023,-5.42,RECURRING PAYMENT AUTHORIZED ON 04/22 CKO*Patreon* Membe 833-9728766 CA S383112306892204 CARD 6283,
