DATE,AMOUNT,MESSAGE,
09/09/2024,-12.99,RECURRING PAYMENT AUTHORIZED ON 09/07 SPOTIFY 877-778-1161 NY S584252016867678 CARD 6283,
08/08/2024,-12.99,RECURRING PAYMENT AUTHORIZED ON 08/07 SPOTIFY 877-778-1161 NY S584221016854395 CARD 6283,
07/08/2024,-12.99,RECURRING PAYMENT AUTHORIZED ON 07/07 SPOTIFY 877-778-1161 NY S304190016832299 CARD 6283,
06/10/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 06/07 SPOTIFY 877-778-1161 NY S464160016904917 CARD 6283,
05/08/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 05/07 SPOTIFY 877-778-1161 NY S584129023683266 CARD 6283,
04/08/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 04/07 SPOTIFY 877-778-1161 NY S584099016819582 CARD 6283,
03/08/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 03/07 SPOTIFY 877-778-1161 NY S584068016839653 CARD 6283,
02/08/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 02/07 SPOTIFY 877-778-1161 NY S464039016818393 CARD 6283,
01/08/2024,-11.90,RECURRING PAYMENT AUTHORIZED ON 01/07 SPOTIFY 877-778-1161 NY S584008016810631 CARD 6283,
12/08/2023,-11.90,RECURRING PAYMENT AUTHORIZED ON 12/07 SPOTIFY 877-778-1161 NY S583342016846327 CARD 6283,
11/08/2023,-11.90,RECURRING PAYMENT AUTHORIZED ON 11/07 SPOTIFY 877-778-1161 NY S303312016820007 CARD 6283,
10/10/2023,-11.90,RECURRING PAYMENT AUTHORIZED ON 10/07 SPOTIFY 877-778-1161 NY S463281016867442 CARD 6283,
09/11/2023,-11.90,RECURRING PAYMENT AUTHORIZED ON 09/07 SPOTIFY 877-778-1161 NY S583251016813770 CARD 6283,
08/09/2023,-10.82,RECURRING PAYMENT AUTHORIZED ON 08/07 SPOTIFY 877-778-1161 NY S383220016853432 CARD 6283,
07/10/2023,-10.82,RECURRING PAYMENT AUTHORIZED ON 07/07 SPOTIFY 877-778-1161 NY S583189016800705 CARD 6283,
06/08/2023,-10.82,RECURRING PAYMENT AUTHORIZED ON 06/07 SPOTIFY 877-778-1161 NY S303159016832058 CARD 6283,
05/08/2023,-10.82,RECURRING PAYMENT AUTHORIZED ON 05/07 SPOTIFY 877-778-1161 NY S463128016824827 CARD 6283,
