DATE,AMOUNT,MESSAGE,
09/26/2024,-2.37,PURCHASE AUTHORIZED ON 09/24 365 MARKET K 888 4 TROY MI S304268558521723 CARD 6283,
09/23/2024,-2.48,PURCHASE AUTHORIZED ON 09/19 365 MARKET K 888 4 TROY MI S304263840609072 CARD 6283,
09/09/2024,-2.37,PURCHASE AUTHORIZED ON 09/05 365 MARKET K 888 4 TROY MI S304249581701467 CARD 6283,
09/06/2024,-2.48,PURCHASE AUTHORIZED ON 09/04 365 MARKET K 888 4 TROY MI S464248826312513 CARD 6283,
09/05/2024,-2.48,PURCHASE AUTHORIZED ON 09/03 365 MARKET K 888 4 TROY MI S584247773086449 CARD 6283,
09/05/2024,-2.37,PURCHASE AUTHORIZED ON 09/03 365 MARKET K 888 4 TROY MI S464247559546184 CARD 6283,
08/29/2024,-2.48,PURCHASE AUTHORIZED ON 08/27 365 MARKET K 888 4 TROY MI S584240809235047 CARD 6283,
08/26/2024,-2.48,PURCHASE AUTHORIZED ON 08/22 365 MARKET K 888 4 TROY MI S384235850430549 CARD 6283,
08/26/2024,-2.48,PURCHASE AUTHORIZED ON 08/22 365 MARKET K 888 4 TROY MI S384235663136865 CARD 6283,
08/26/2024,-2.37,PURCHASE AUTHORIZED ON 08/22 365 MARKET K 888 4 TROY MI S464235567708462 CARD 6283,
08/22/2024,-2.48,PURCHASE AUTHORIZED ON 08/20 365 MARKET K 888 4 TROY MI S384233771721197 CARD 6283,
08/19/2024,-3.56,PURCHASE AUTHORIZED ON 08/15 365 MARKET K 888 4 TROY MI S464228788444366 CARD 6283,
08/12/2024,-2.48,PURCHASE AUTHORIZED ON 08/08 365 MARKET K 888 4 TROY MI S304221808062226 CARD 6283,
08/09/2024,-2.48,PURCHASE AUTHORIZED ON 08/07 365 MARKET K 888 4 TROY MI S304220761056309 CARD 6283,
08/01/2024,-2.18,PURCHASE AUTHORIZED ON 07/30 365 MARKET K 888 4 TROY MI S464212571508394 CARD 6283,
07/29/2024,-2.48,PURCHASE AUTHORIZED ON 07/25 365 MARKET K 888 4 TROY MI S304207835049274 CARD 6283,
07/26/2024,-2.48,PURCHASE AUTHORIZED ON 07/24 365 MARKET K 888 4 TROY MI S584206796294383 CARD 6283,
03/08/2024,-2.61,PURCHASE AUTHORIZED ON 03/06 365 MARKET K 888 4 TROY MI S584066562547250 CARD 6283,
02/23/2024,-2.48,PURCHASE AUTHORIZED ON 02/21 365 MARKET K 888 4 TROY MI S384053008455118 CARD 6283,
02/23/2024,-3.56,PURCHASE AUTHORIZED ON 02/21 365 MARKET K 888 4 TROY MI S464052694878491 CARD 6283,
02/20/2024,-3.88,PURCHASE AUTHORIZED ON 02/15 365 MARKET K 888 4 TROY MI S464046825749193 CARD 6283,
02/16/2024,-5.49,PURCHASE AUTHORIZED ON 02/14 365 MARKET K 888 4 TROY MI S304045643440402 CARD 6283,
02/15/2024,-2.61,PURCHASE AUTHORIZED ON 02/13 365 MARKET K 888 4 TROY MI S584044606282122 CARD 6283,
02/01/2024,-2.48,PURCHASE AUTHORIZED ON 01/30 365 MARKET K 888 4 TROY MI S384030702973783 CARD 6283,
02/01/2024,-2.61,PURCHASE AUTHORIZED ON 01/30 365 MARKET K 888 4 TROY MI S464030586180551 CARD 6283,
01/29/2024,-3.88,PURCHASE AUTHORIZED ON 01/25 365 MARKET K 888 4 TROY MI S584025708598610 CARD 6283,
