DATE,AMOUNT,MESSAGE,
09/23/2024,-14.27,PURCHASE AUTHORIZED ON 09/21 CHICK-FIL-A #03164 TEMPE AZ S384266139028828 CARD 6283,
09/09/2024,-14.30,PURCHASE AUTHORIZED ON 09/05 CHICK-FIL-A #01738 MESA AZ S584250108551614 CARD 6283,
09/06/2024,-16.18,PURCHASE AUTHORIZED ON 09/04 CHICK-FIL-A #0152 MESA AZ S384249100653359 CARD 6283,
08/26/2024,-14.81,PURCHASE AUTHORIZED ON 08/24 CHICK-FIL-A #03091 PHOENIX AZ S384238087061324 CARD 6283,
08/26/2024,-16.24,PURCHASE AUTHORIZED ON 08/23 CHICK-FIL-A #01738 MESA AZ S304237057870330 CARD 6283,
08/21/2024,-16.21,PURCHASE AUTHORIZED ON 08/19 CHICK-FIL-A #03164 TEMPE AZ S464233097467342 CARD 6283,
08/19/2024,-15.28,PURCHASE AUTHORIZED ON 08/16 CHICK-FIL-A #03246 SCOTTSDALE AZ S304230037505140 CARD 6283,
08/15/2024,-14.27,PURCHASE AUTHORIZED ON 08/13 CHICK-FIL-A #0152 MESA AZ S304226700988594 CARD 6283,
08/12/2024,-14.71,PURCHASE AUTHORIZED ON 08/09 CHICK-FIL-A #0152 MESA AZ S464223078925843 CARD 6283,
08/05/2024,-27.06,PURCHASE AUTHORIZED ON 08/02 CHICK-FIL-A #01738 MESA AZ S464215856533104 CARD 6283,
08/02/2024,-14.27,PURCHASE AUTHORIZED ON 07/31 CHICK-FIL-A #03164 TEMPE AZ S464214142002392 CARD 6283,
07/31/2024,-15.31,PURCHASE AUTHORIZED ON 07/29 CHICK-FIL-A #01738 MESA AZ S304212015737656 CARD 6283,
07/26/2024,-14.27,PURCHASE AUTHORIZED ON 07/24 CHICK-FIL-A #0152 MESA AZ S304207065618847 CARD 6283,
07/25/2024,-16.24,PURCHASE AUTHORIZED ON 07/23 CHICK-FIL-A #01738 MESA AZ S584206143358346 CARD 6283,
03/07/2024,-16.68,PURCHASE AUTHORIZED ON 03/05 CHICK-FIL-A #0152 MESA AZ S464066121206347 CARD 6283,
02/26/2024,-16.29,PURCHASE AUTHORIZED ON 02/24 CHICK-FIL-A #01738 MESA AZ S384056125581766 CARD 6283,
02/23/2024,-16.29,PURCHASE AUTHORIZED ON 02/21 CHICK-FIL-A #01738 MESA AZ S464053164793698 CARD 6283,
02/22/2024,-16.24,PURCHASE AUTHORIZED ON 02/20 CHICK-FIL-A #0152 MESA AZ S384052144151568 CARD 6283,
02/16/2024,-16.24,PURCHASE AUTHORIZED ON 02/14 CHICK-FIL-A #0152 MESA AZ S464046052554621 CARD 6283,
02/14/2024,-13.96,PURCHASE AUTHORIZED ON 02/12 CHICK-FIL-A #01738 MESA AZ S464044023856834 CARD 6283,
02/12/2024,-12.40,PURCHASE AUTHORIZED ON 02/09 CHICK-FIL-A #0152 MESA AZ S304041110307574 CARD 6283,
01/29/2024,-13.91,PURCHASE AUTHORIZED ON 01/27 CHICK-FIL-A #01738 MESA AZ S304028154416943 CARD 6283,
01/29/2024,-14.31,PURCHASE AUTHORIZED ON 01/25 CHICK-FIL-A #0152 MESA AZ S464026140775434 CARD 6283,
01/24/2024,-13.93,PURCHASE AUTHORIZED ON 01/22 CHICK-FIL-A #03164 TEMPE AZ S464023048723740 CARD 6283,
