DATE,AMOUNT,MESSAGE,
09/25/2024,-3.87,PURCHASE AUTHORIZED ON 09/24 GOODWILL # 069 TEMPE AZ S464269105636979 CARD 6283,
08/27/2024,-7.49,PURCHASE AUTHORIZED ON 08/26 GOODWILL # 069 TEMPE AZ S384240075846974 CARD 6283,
08/20/2024,-9.49,PURCHASE AUTHORIZED ON 08/19 GOODWILL # 095 TEMPE AZ S304233083140871 CARD 6283,
08/19/2024,-1.14,PURCHASE AUTHORIZED ON 08/17 GOODWILL # 075 PHOENIX AZ S464231103843379 CARD 6283,
08/19/2024,-15.98,PURCHASE AUTHORIZED ON 08/17 GOODWILL # 084 PHOENIX AZ S584231056889963 CARD 6283,
08/19/2024,-2.28,PURCHASE AUTHORIZED ON 08/17 GOODWILL # 097 GLENDALE AZ S584231018588031 CARD 6283,
08/19/2024,-5.04,PURCHASE AUTHORIZED ON 08/16 GOODWILL # 039 SCOTTSDALE AZ S464230083458230 CARD 6283,
08/19/2024,-28.00,PURCHASE AUTHORIZED ON 08/16 GOODWILL # 197 SCOTTSDALE AZ S584230064360352 CARD 6283,
08/16/2024,-2.58,PURCHASE AUTHORIZED ON 08/15 GOODWILL # 069 TEMPE AZ S584229096182097 CARD 6283,
08/15/2024,-1.49,PURCHASE AUTHORIZED ON 08/13 GOODWILL STORE #11 MESA AZ S464226728202893 CARD 6283,
08/14/2024,-6.73,PURCHASE AUTHORIZED ON 08/13 GOODWILL # 092 MESA AZ S304226792535188 CARD 6283,
08/13/2024,-5.49,PURCHASE AUTHORIZED ON 08/11 GOODWILL # 144 TEMPE AZ S304225028974712 CARD 6283,
08/13/2024,-8.57,PURCHASE AUTHORIZED ON 08/11 GOODWILL # 137 CHANDLER AZ S304225006155811 CARD 6283,
08/12/2024,-3.58,PURCHASE AUTHORIZED ON 08/10 GOODWILL # 039 SCOTTSDALE AZ S304224004774441 CARD 6283,
08/09/2024,-12.49,PURCHASE AUTHORIZED ON 08/08 GOODWILL #171 GILBERT AZ S464222102696626 CARD 6283,
08/05/2024,-12.00,PURCHASE AUTHORIZED ON 08/04 GOODWILL # 151 MESA AZ S464217850016446 CARD 6283,
08/05/2024,-29.49,PURCHASE AUTHORIZED ON 08/03 GOODWILL #110204 CHANDLER AZ S304217089739371 CARD 6283,
08/02/2024,-9.96,PURCHASE AUTHORIZED ON 08/01 GOODWILL # 093 PHOENIX AZ S384215138610376 CARD 6283,
08/02/2024,-9.24,PURCHASE AUTHORIZED ON 08/01 GOODWILL # 102 PHOENIX AZ S304215114588460 CARD 6283,
07/29/2024,-11.00,PURCHASE AUTHORIZED ON 07/28 GOODWILL # 197 SCOTTSDALE AZ S464211073415368 CARD 6283,
07/29/2024,-11.24,PURCHASE AUTHORIZED ON 07/27 GOODWILL # 102 PHOENIX AZ S464210112525433 CARD 6283,
05/16/2023,-4.49,PURCHASE AUTHORIZED ON 05/15 GOODWILL # 063 MESA AZ S383136087120019 CARD 6283,
