DATE,AMOUNT,MESSAGE,
09/10/2024,-35.74,PURCHASE AUTHORIZED ON 09/09 IRACING MOTORSPORT 781-271-1900 MA S464254241285611 CARD 6283,
06/10/2024,-35.74,PURCHASE AUTHORIZED ON 06/09 IRACING MOTORSPORT 781-271-1900 MA S584162234171808 CARD 6283,
03/11/2024,-35.74,PURCHASE AUTHORIZED ON 03/09 IRACING MOTORSPORT 781-271-1900 MA S464070260047889 CARD 6283,
12/27/2023,-16.19,PURCHASE AUTHORIZED ON 12/26 IRACING MOTORSPORT 781-271-1900 MA S583361099803895 CARD 6283,
12/11/2023,-35.74,PURCHASE AUTHORIZED ON 12/09 IRACING MOTORSPORT 781-271-1900 MA S583344260163009 CARD 6283,
12/01/2023,-16.19,PURCHASE AUTHORIZED ON 11/30 IRACING MOTORSPORT 781-271-1900 MA S583335036524288 CARD 6283,
11/17/2023,-16.19,PURCHASE AUTHORIZED ON 11/16 IRACING MOTORSPORT 781-271-1900 MA S463321061387604 CARD 6283,
11/13/2023,-29.13,PURCHASE AUTHORIZED ON 11/10 IRACING MOTORSPORT 781-271-1900 MA S303315162860801 CARD 6283,
09/11/2023,-34.66,PURCHASE AUTHORIZED ON 09/10 IRACING MOTORSPORT 781-271-1900 MA S383253257629842 CARD 6283,
06/12/2023,-35.74,PURCHASE AUTHORIZED ON 06/10 IRACING MOTORSPORT 781-271-1900 MA S383161254108133 CARD 6283,
