DATE,AMOUNT,MESSAGE,
09/18/2024,-15.00,PURCHASE AUTHORIZED ON 09/17 MCDONALD'S F22111 TEMPE AZ S464262053439964 CARD 6283,
09/16/2024,-12.10,PURCHASE AUTHORIZED ON 09/15 MCDONALD'S F11664 TEMPE AZ S464260169943986 CARD 6283,
09/12/2024,-14.00,PURCHASE AUTHORIZED ON 09/11 MCDONALD'S F11752 TEMPE AZ S584256144494650 CARD 6283,
09/03/2024,-11.88,PURCHASE AUTHORIZED ON 09/02 MCDONALD'S F11752 TEMPE AZ S384247215744793 CARD 6283,
09/03/2024,-9.74,PURCHASE AUTHORIZED ON 08/29 MCDONALD'S F2771 MESA AZ S304243237579687 CARD 6283,
08/29/2024,-13.31,PURCHASE AUTHORIZED ON 08/28 MCDONALD'S F31780 MESA AZ S384242066078312 CARD 6283,
08/21/2024,-13.50,PURCHASE AUTHORIZED ON 08/20 MCDONALD'S F22111 TEMPE AZ S584234160630519 CARD 6283,
08/19/2024,-13.56,PURCHASE AUTHORIZED ON 08/17 MCDONALD'S F19082 GLENDALE AZ S304231001485180 CARD 6283,
08/16/2024,-13.39,PURCHASE AUTHORIZED ON 08/15 MCDONALD'S F11752 TEMPE AZ S584228330217507 CARD 6283,
08/05/2024,-11.94,PURCHASE AUTHORIZED ON 08/03 MCDONALD'S M2357 O PHOENIX AZ S304216312912992 CARD 6283,
07/29/2024,-10.03,PURCHASE AUTHORIZED ON 07/27 MCDONALD'S F11752 TEMPE AZ S584209364409867 CARD 6283,
02/26/2024,-17.09,PURCHASE AUTHORIZED ON 02/22 MCDONALD'S F2771 MESA AZ S464054259590560 CARD 6283,
02/20/2024,-14.28,PURCHASE AUTHORIZED ON 02/17 MCDONALD'S F10597 MESA AZ S304049222214857 CARD 6283,
